j,psi,blm_firm_type
452,0.121677140180762,2
453,-0.591491041874619,5
454,-0.316041421377994,7
455,-0.661832172870655,5
456,0.847220510251223,4
457,-0.297300108110457,8
458,0.209344408889672,2
459,1.03058624161338,6
460,0.257172215087973,4
461,-0.335699693448243,2
462,0.347893022114424,9
463,0.0145463139218626,2
464,-0.244805828994821,8
465,-0.926604324653862,5
466,1.00252075456112,6
467,-0.339288960722642,8
468,-0.038198674701494,9
469,-0.081999743670993,8
470,-0.309079704138607,2
471,0.593658261411149,4
472,0.130505434457935,1
473,-0.640256064136439,5
474,0.0732572340622938,2
475,1.50722559655877,6
476,0.0740348861732067,2
477,0.321030367531354,4
478,0.545416622852971,4
479,-0.281303205288679,8
480,0.532267116098374,4
481,0.981267949247238,6
482,0.123142039767073,8
483,0.602998028859945,4
484,-0.116694451707632,1
485,0.421118329748743,9
486,-0.781694963420684,5
487,-0.448164890256005,8
488,0.213066019217632,9
489,0.292339972660872,1
490,0.721822272359463,4
491,0.209163219540824,1
492,0.736059025237987,9
493,0.871417135661991,4
494,0.719806868849782,4
495,0.584860026721034,4
496,0.37968585525642,1
497,-0.941330681683437,5
498,-0.0777629751404507,2
499,-0.401413422121458,7
500,0.946252238633457,6
501,0.176006281867305,9
502,-0.151266494002107,7
503,-0.276169917163553,8
504,-0.225189627574689,3
505,0.466157008931242,1
506,-0.369421262797122,8
507,0.814515148605418,6
508,-0.700281872594711,7
509,0.027192130563335,1
510,-1.15613681339028,5
511,0.154009728289992,2
512,-0.731424214872327,7
513,-0.352183916151812,2
514,-0.982059935694214,5
515,0.321819911029747,1
516,-0.17707646435321,9
517,0.10801403301273,2
518,-0.404151256051578,2
519,-0.585816905307073,3
520,-0.742910495692541,7
521,-0.389048729546165,9
522,-0.139169978944026,2
523,-1.24176819652869,5
524,-0.546490911024982,7
525,-0.760781463765484,5
526,-0.2270910525326,2
527,-0.905847201431749,0
528,-0.141313784891419,9
529,0.821233321564577,4
530,-0.170194557227904,9
531,0.263132198830999,1
532,-0.0172632994788032,2
533,-0.0911272366281232,8
534,-0.871211946405456,5
535,0.638665782309292,4
536,0.93835002660941,4
537,0.481179687963981,9
538,-0.301019101675869,5
539,0.0969742476263865,9
540,-0.723339256941565,7
541,0.127626723313763,2
542,-0.274296432460122,8
543,-0.597572597922952,5
544,-0.104382761023676,2
545,0.347492274010071,1
546,0.641167129646763,1
547,-0.0826463008844652,8
548,0.690692805250979,4
549,0.56000835512585,9
550,-0.222526500309008,8
551,-0.677426121109392,5
552,-0.612768811459709,7
553,0.562979924234319,4
554,0.312822933674004,4
555,-0.342873823710432,7
556,-0.878097121953893,0
557,-0.422248257176715,7
558,0.190833367267725,9
559,0.0748885339139612,2
560,-0.45769779651479,3
561,0.228254754594293,1
562,-0.49425954372107,3
563,0.256678531783796,4
564,-0.437183877397745,7
565,-0.0781608795646205,2
566,0.795437406864377,6
567,-0.183748938234093,9
568,-0.316148959600177,8
569,0.607236029050987,4
